Game,CPU,GPU,RAM,File Size
Kaiserpunk,Intel Core i5-7400,Unknown,12 GB,20 GB
Drug Lord Tycoon,Intel Core i5-4590,NVIDIA GeForce GTX 760,4 GB,500 MB
POSTAL 4: No Regerts,Intel Core i5-1300F,AMD Radeon HD 5450,8 GB,25 GB
Ghostrunner,Intel Core i5-2500K,AMD Radeon RX 550,8 GB,22 GB
Spectre Divide,Intel Core i5-12400T,NVIDIA GeForce GTX 1080 Ti,8 GB,20 GB
Immortals of Aveum,Intel Core i7-9700,NVIDIA GeForce RTX 2080,4 GB,110 GB
WWE 2K20,Intel Core i5-3550,AMD Radeon HD 7850,4 GB,50 GB
World of Warcraft Dragonflight,Intel Core i7-4790K,NVIDIA GeForce GTX 970,8 GB,128 GB
Lost Soul Aside™,Intel Core i5-10400,Unknown,16 GB,80 GB
Deadzone: Rogue,Intel Core i5-4690,NVIDIA GeForce GTX 1060,8 GB,10 GB
That's not your Neighbor,Intel Core i5-1300F,ATI FireMV 2400 PCIe,2 GB,1 GB
Paralives,Intel Core i3-530,NVIDIA GeForce GTX 660,8 GB,20 GB
Anno 117: Pax Romana,Intel Core 2 Duo E8400,NVIDIA GeForce 510,4 GB,Unknown
F1 25,Intel Core i5-6400  / Ryzen 3 1200,NVIDIA GeForce GTX 1060  / Radeon RX 570,8 GB,100 GB
GTA 3,Intel Core i5-6600K,NVIDIA GeForce GTX 760,8 GB,45 GB
Counter-Strike: Source,Intel Core 2 Duo E8400,NVIDIA GeForce 510,4 GB,Unknown
Among Us,Intel Pentium 4 2.00GHz,NVIDIA GeForce 510,1 GB,250 MB
XCOM 2,Intel Core 2 Duo E4700,ATI Radeon HD 5770,4 GB,45 GB
Kerbal Space Program,Intel Core 2 Duo U7600,NVIDIA GeForce 8400 GS,4 GB,3 GB
PowerWash Simulator,Intel Core i5-760,Unknown,4 GB,6 GB
SCP: Secret Laboratory,Intel Core i3-530,NVIDIA GeForce GT 720,3 GB,4 GB
The Planet Crafter,Intel Core 2 Duo Q6867,AMD Radeon R5 M230,4 GB,4 GB
Total War: EMPIRE – Definitive Edition,Intel Pentium 4 2.40GHz,NVIDIA GeForce FX 5500,1 GB,15 GB
SUPERVIVE,Intel Core i5-4440,NVIDIA GeForce GTX 980 Ti,8 GB,5 GB
Transport Fever 2,Intel Core i5-2300,Unknown,8 GB,Unknown
Hello Kitty Island Adventure,Intel Core i5-12400T,Unknown,6 GB,5 GB
The Long Dark,Intel Core i5-4400E,Intel HD 4400,4 GB,7 GB
WARNO,Intel Core i3-2100,Unknown,4 GB,50 GB
Bellwright,Intel Core i5-8600,Unknown,16 GB,24 GB
Like a Dragon: Infinite Wealth,Intel Core i5-3470  / Ryzen 3 1200,NVIDIA GeForce GTX 960  / Radeon RX 460,8 GB,82 GB
Old World,Intel Core i5-4570,Unknown,8 GB,10 GB
HUMANKIND,AMD FX-8300,NVIDIA GeForce GTX 770,8 GB,25 GB
theHunter Classic,Intel Core 2 Duo Q6867,AMD Radeon HD 2400,2 GB,8 GB
DmC: Devil May Cry,Intel Core 2 Duo Q6867,ATI Radeon HD 3850,2 GB,9 GB
Tokyo Xtreme Racer,Intel Core i7-7700,Unknown,16 GB,12 GB
RaceRoom Racing Experience,Intel Core 2 Duo Q6867,NVIDIA GeForce 7200 GS,4 GB,70 GB
GROUND BRANCH,Intel Core i5-2500K,Unknown,8 GB,30 GB
Sengoku Dynasty,Intel Core i5-8400,Unknown,12 GB,15 GB
Prey,Intel Core i5-2400,NVIDIA GeForce GTX 660,8 GB,20 GB
Shadows of Doubt,AMD Ryzen 5 1600,NVIDIA GeForce GTX 1060,8 GB,4 GB
Construction Simulator,Intel Core i5-4460,Unknown,8 GB,10 GB
Storage Hunter,Intel Core i5-4590,Unknown,8 GB,8 GB
Call of Duty 2,Intel Core 2 Duo E8400,NVIDIA GeForce 510,4 GB,Unknown
LEGO Marvel Super Heroes 2,Intel Core i3-3240,ATI Radeon HD 5850,4 GB,16 GB
Party Club,Intel Core i3-2340UE,Unknown,4 GB,6 GB
Beyond: Two Souls,Intel Core i5-4430,AMD Radeon HD 7870,4 GB,49 GB
RIDE 5,Intel Core i3-10100,AMD Radeon RX 570,8 GB,50 GB
F1 2021,Intel Core i3-2130,AMD Radeon R9 280,8 GB,80 GB
"Gunner, HEAT, PC!",Intel Core 2 Duo E8400,Unknown,12 GB,11 GB
Thief Simulator 2,Intel Core i3-6100,NVIDIA GeForce GTX 960,8 GB,12 GB
Alan Wake,Intel Core 2 Duo Q6867,NVIDIA GeForce 205,2 GB,8 GB
Granny,Intel Core i5-750,ATI Radeon HD 5770,4 GB,1.37 GB
Ghostrunner 2,Intel Core i5-4590,AMD Radeon RX 480,8 GB,65 GB
NBA 2K17,Intel Core i3-530,AMD Radeon HD 6450,4 GB,70 GB
It Takes Two Friend's Pass,Intel Core i3-2100T,AMD Radeon R7 260X,8 GB,50 GB
STAR WARS Battlefront,Intel Core i3-6300T,AMD Radeon HD 7850,8 GB,40 GB
Sniper: Ghost Warrior 2,AMD Athlon 64 FX-51,NVIDIA GeForce 8800 GT,2 GB,9 GB
Fernbus Simulator,Intel Core i5-1300F,Unknown,6 GB,45 GB
Metro Awakening,Intel Core i7-9700K,NVIDIA GeForce RTX 2070,16 GB,60 GB
Syberia: The World Before,Intel Core i5-6600,Unknown,8 GB,22 GB
Shinkansen 0 | 新幹線 0号,Intel Core i5-12400T,Unknown,4 GB,10 GB
WWE 2K18,Intel Core i5-3550,AMD Radeon HD 7850,4 GB,50 GB
Diablo Immortal,AMD FX-8100,AMD Radeon HD 6850,4 GB,24 GB
Witchfire,Intel Core i5-6600K,NVIDIA GeForce GTX 1050 Ti,8 GB,55 GB
Stranger of Paradise: Final Fantasy Origin,Intel Core i7-6700,AMD Radeon RX 470,8 GB,80 GB
Arknights: Release,Intel Core 2 Duo E8400,NVIDIA GeForce 510,16 GB,6 GB
The Blood of Dawnwalker,Intel Core i9-9900K  / Ryzen 7 3700X,NVIDIA GeForce RTX 2070  / Radeon RX 5700 XT,16 GB,120 GB
Demon's Run,Intel Core 2 Quad Q9705,NVIDIA GeForce 7100 / nForce 630i,8 GB,5 GB
Call of Duty Modern Warfare 2 Remastered,AMD FX-6300,NVIDIA GeForce GTX 670,8 GB,80 GB
FANTASY LIFE i: The Girl Who Steals Time,Intel Core i3-3225,Unknown,8 GB,20 GB
Need For Speed: The Run,Intel Core 2 Duo E8400,NVIDIA GeForce 8800 GT,3 GB,18 GB
Anomaly,Intel Core i5-4400E,NVIDIA GeForce 256,4 GB,300 MB
Raven Quest,Intel Atom Z515,NVIDIA GeForce 510,256 MB,256 MB
Mobile Legends,Intel Core i7-2600K,Intel UHD 630,8 GB,10 GB
Geometry Dash,Intel Pentium 4 2.00GHz,NVIDIA GeForce 6200 LE,512 MB,100 MB
Disney Dreamlight Valley,Intel Core i3-540,AMD Radeon HD 6570,6 GB,10 GB
DARK SOULS II: Scholar of the First Sin,Intel Core i3-2100,NVIDIA GeForce GTX 465,4 GB,23 GB
Company of Heroes 2,Intel Core 2 Duo T5750,NVIDIA GeForce 8800 GT,2 GB,30 GB
Against the Storm,Intel Core i3-530,Unknown,4 GB,5 GB
Stormworks: Build and Rescue,Intel Core i5-4440,Unknown,4 GB,2 GB
Persona 4 Golden,Intel Core 2 Duo E8400,Unknown,2 GB,14 GB
Trailmakers,Intel Core i5-4440,NVIDIA GeForce GTX 660,8 GB,8 GB
Back 4 Blood,Intel Core i5-6600K,AMD Radeon RX 570,8 GB,40 GB
Planet Coaster,Intel Core i5-2300,NVIDIA GeForce GTX 560,8 GB,8 GB
Escape the Backrooms,Intel Core i3-2340UE,NVIDIA GeForce GTX 650,8 GB,10 GB
Resident Evil 5/ Biohazard 5,AMD Phenom II X4 900e,AMD Radeon HD 7770,4 GB,15 GB
Wobbly Life,Intel Core 2 Duo E8400,NVIDIA GeForce GTX 750,8 GB,Unknown
NBA 2K23,Intel Core i3-2100,AMD Radeon HD 7770,4 GB,110 GB
The Sims 2 Legacy Collection,Intel Core i3-3220,Intel HD Graphics 620,4 GB,17 GB
Tainted Grail: The Fall of Avalon,Intel Core i7-8700,NVIDIA GeForce GTX 1060,12 GB,31 GB
Portal,Intel Core 2 Duo E8400,NVIDIA GeForce 510,4 GB,Unknown
Dishonored 2,Intel Core i5-2400,Unknown,8 GB,60 GB
Yakuza Kiwami,Intel Core i5-3470,Unknown,4 GB,Unknown
The Watchers: DEVOUR,Intel Core i5-12400T,Unknown,8 GB,10 GB
Out of Ore,Intel Core i5-14400,Unknown,8 GB,17 GB
Drug Dealer Simulator,Intel Core i5-2500,Unknown,8 GB,15 GB
Cataclismo,Intel Core i7-4770,Unknown,8 GB,10 GB
Gotham Knights,Intel Core i5-9600K,NVIDIA GeForce GTX 1660 Ti,8 GB,45 GB
Dead Island Definitive Edition,Intel Core i5-2500,AMD Radeon HD 6870,4 GB,10 GB
Operation: Harsh Doorstop,Intel Core i3-6100,NVIDIA GeForce GTX 760,8 GB,40 GB
SpaceEngine,Intel Core i3-3220T,AMD Radeon RX 460,6 GB,4 GB
Deus Ex: Mankind Divided,Intel Core i3-2100,NVIDIA GeForce GTX 660,8 GB,45 GB
Until Then,Intel Core i5-4460,AMD Radeon R7 260,4 GB,3 GB
POLYGON,Intel Core i3-530,Unknown,4 GB,2 GB
Saints Row 4,Intel Core 2 Quad Q6600,NVIDIA GeForce GTX 260,4 GB,10 GB
TrackDayR,Intel Core i5-4460,NVIDIA GeForce GTX 770,8 GB,70 GB
Little Nightmares II,Intel Core i5-2300,AMD Radeon HD 7850,4 GB,5 GB
STORROR Parkour Pro,Intel Core i5-4460,NVIDIA GeForce GTX 1060,16 GB,26 GB
Honkai Impact 3rd,Intel Core i3-6100,NVIDIA GeForce GTX 660,8 GB,15 GB
Firewatch,Intel Core i3-330E,AMD Radeon Pro 450,6 GB,4 GB
WRC 7 FIA World Rally Championship,Intel Core i3-540,Unknown,4 GB,19 GB
Terminator: Resistance,Intel Core i3-4160,Unknown,8 GB,32 GB
Hellblade: Senua's Sacrifice,Intel Core i5-3570K,AMD Radeon R9 280X,8 GB,30 GB
The Callisto Protocol,Intel Core i5-8400  / Ryzen 5 2600,AMD Radeon RX 580  / GeForce GTX 1060,8 GB,75 GB
Bramble: The Mountain King,Intel Core i5-2300,AMD Radeon HD 7850,4 GB,8 GB
Slaves of Rome,Intel Core i5-8600K,Unknown,12 GB,10 GB
Quantum Break,Intel Core i5-4460,AMD Radeon R7 260X,8 GB,68 GB
NBA 2K16,Intel Core 2 Duo U7600,AMD Radeon HD 3450,4 GB,50 GB
The Classrooms,Intel Core i5-1300F,Unknown,8 GB,12 GB
The Invincible,Intel Core i5-10400F,Unknown,8 GB,40 GB
Battlefield: Bad Company 2,Intel Core 2 Duo Q6867,ATI Radeon X1900,2 GB,15 GB
F1 2015,Intel Core 2 Quad Q9705,ATI Radeon HD 5770,4 GB,20 GB
Nordhold: Origins,Intel Core i5-1300F,AMD Radeon HD 5450,4 GB,4 GB
Ashes Cricket,Intel Core i3-3210,AMD Radeon HD 6670,4 GB,12 GB
HoneyCome come come party,Intel Core i5-12400T,Unknown,8 GB,20 GB
WWE 2K17,Intel Core i5-3550,AMD Radeon HD 7770,4 GB,50 GB
UNDEFINED,Intel Core 2 Duo E6320,NVIDIA GeForce 7600 GS,4 GB,3 GB
Modern Warships,Intel Core i5-1300F,Unknown,4 GB,7 GB
Cairn,Intel Core i7-6700,AMD Radeon RX 570,8 GB,10 GB
Oculus Quest 2,Intel Core i5-4590,NVIDIA GeForce GTX 970,8 GB,10 GB
Acts of Blood,Intel Core i5-12400T,NVIDIA GeForce GTX 1050 Ti,8 GB,7 GB
Car Dealer Simulator,Intel Core i3-540,AMD Radeon RX 570,8 GB,16 GB
Madoka Magica Magia Exedra,Intel Core i3-2340UE,NVIDIA GeForce GTX 970,8 GB,30 GB
GameLooper,Intel Pentium 4 2.00GHz,NVIDIA GeForce 6100,2 GB,100 MB
Warborne Above Ashes,Intel Core i5-8600,Unknown,16 GB,10 GB
ShaderTool,Intel Core i3-530,AMD Radeon HD 6250,4 GB,50 MB
Warpath,Intel Core i5-12400T,Unknown,4 GB,3 GB
2XKO,Intel Core i7-4790,NVIDIA GeForce GTX 960,8 GB,20 GB
Crosswind,Intel Core i7-8700K,Unknown,16 GB,30 GB
PUBG Lite,Intel Core i3-530,Intel HD 4000,4 GB,4 GB
Sid Meier's Civilization V,Intel Core 2 Duo T7600,NVIDIA GeForce 7900 GS,2 GB,8 GB
Limbus Company,Intel Core i5-12400T,NVIDIA GeForce GT 1030,8 GB,10 GB
SCUM,Intel Core i5-4430,AMD Radeon R7 370,8 GB,20 GB
New World,Intel Core i5-2400,AMD Radeon R9 280,8 GB,50 GB
Space Engineers,Intel Core i5-2320,NVIDIA GeForce GTX 750,8 GB,25 GB
Stumble Guys,Intel Core 2 Duo E8400,Unknown,4 GB,512 MB
Abiotic Factor,Intel Core i5-12400T,NVIDIA GeForce GTX 950,8 GB,10 GB
Enter the Gungeon,Intel Core 2 Duo E6320,NVIDIA GeForce 7600 GS,2 GB,2 GB
Trackmania,Intel Core i5-2500K,Unknown,4 GB,3 GB
Total War: SHOGUN 2,Intel Core 2 Duo Q6867,ATI FireMV 2400 PCIe,1 GB,32 GB
CarX Drift Racing Online,Intel Core i5-4590,Unknown,4 GB,6 GB
Wartales,Intel Core i5-1300F,Unknown,8 GB,30 GB
Total War: ATTILA,Intel Core 2 Duo E6850,ATI Radeon HD 2900 XT,3 GB,35 GB
Overcooked! 2,Intel Core i3-2100,AMD Radeon HD 6570,4 GB,3 GB
My Time at Sandrock,Intel Core i3-2100,Unknown,8 GB,50 GB
Spiritfarer,Intel Core 2 Duo Q6867,NVIDIA GeForce 8500 GT,4 GB,7 GB
Pro Soccer Online,Intel Core i5-1300F,Unknown,8 GB,2 GB
Tom Clancy’s The Division,Intel Core i5-2400,AMD Radeon HD 7770,6 GB,40 GB
Wreckfest,Intel Core i3-530,Unknown,8 GB,32 GB
Outward,Intel Core i5-750,NVIDIA GeForce GTS 450,4 GB,15 GB
X-Plane 11,Intel Core i5-12400T,Unknown,8 GB,20 GB
Sonic Adventure 2,Intel Pentium 4 4.00GHz,NVIDIA GeForce 8600 GT,1 GB,3 GB
Pro Cycling Manager 2024,Intel Core i3-540,Unknown,4 GB,20 GB
The Elder Scrolls V: Skyrim VR,Intel Core i5-6600K,AMD Radeon RX 480,8 GB,15 GB
Thief Simulator,Intel Core i5-12400T,NVIDIA GeForce GTX 750,8 GB,5 GB
PROJECT: PLAYTIME,Intel Core i5-12400T,AMD Radeon RX 580,8 GB,20 GB
NieR Replicant™ ver.1.22474487139...,Intel Core i5-6400,Unknown,8 GB,26 GB
Tales of Arise,Intel Core i5-2300,NVIDIA GeForce GTX 760,8 GB,45 GB
Eiyuden Chronicle: Hundred Heroes,Intel Core i5-4670K,AMD Radeon R7 260X,8 GB,30 GB
Sniper Ghost Warrior Contracts 2,Intel Core i5-7600,AMD Radeon RX 580,8 GB,20 GB
Viscera Cleanup Detail,Intel Core 2 Duo Q6867,ATI Radeon HD 3870,4 GB,5 GB
Call to Arms,Intel Core 2 Duo E8400,NVIDIA GeForce 7100 / nForce 630i,4 GB,40 GB
Resident Evil Revelations 2 / Biohazard Revelations 2,Intel Core 2 Duo E6700,ATI Radeon HD 3850,2 GB,23 GB
System Shock,Intel Core i5-2400,AMD Radeon HD 7870,4 GB,2 GB
Test Drive Unlimited Solar Crown,Intel Core i7-7700K  / Ryzen 7 1800X,NVIDIA GeForce GTX 1660  / Radeon RX 480,12 GB,50 GB
Mouthwashing,Intel Core i5-6300HQ,NVIDIA GeForce GTX 560,8 GB,3 GB
CRISIS CORE FINAL FANTASY VII REUNION,Intel Core i3-3210  / A8-7600,AMD Radeon RX 460  / GeForce GTX 750 Ti,8 GB,30 GB
Expeditions: A MudRunner Game,Intel Core i3-9100,Unknown,8 GB,20 GB
Hi-Fi RUSH,Intel Core i5-6500  / Ryzen 3 1200,NVIDIA GeForce GTX 1050  / Radeon RX 570,8 GB,20 GB
Grand Theft Auto III – The Definitive Edition,Intel Core i5-6600K,AMD Radeon R9 280,8 GB,5 GB
GhostWire: Tokyo,Intel Core i7-4770K,NVIDIA GeForce GTX 1060,12 GB,20 GB
Cooking Simulator,Intel Core i5-3550,NVIDIA GeForce GTX 660 Ti,6 GB,6 GB
Dawnlands,Intel Core i5-1300F,NVIDIA GeForce GTX 760,8 GB,4 GB
Sex Desert: Mad Lust,Intel Core i5-12400T,Unknown,16 GB,6 GB
Life is Strange: True Colors,Intel Core i5-2300,AMD Radeon HD 7790,6 GB,30 GB
Mirror's Edge™ Catalyst,Intel Core i3-3250,Unknown,6 GB,25 GB
Thymesia,Intel Core i5-12400T,NVIDIA GeForce GTX 950,8 GB,16 GB
LIGHTNING RETURNS: FINAL FANTASY XIII,Intel Core 2 Duo Q6867,ATI Radeon HD 4770,1.46 GB,22 GB
Tower! Simulator 3.,Intel Core i5-1300F,AMD Radeon R5 M230,16 GB,20 GB
Geo-Political Simulator 5,Intel Core i5-1300F,AMD Radeon HD 5450,16 GB,16 GB
The Cabin Factory,Intel Core i5-12400T,Unknown,4 GB,2 GB
Disney Epic Mickey: Rebrushed,Intel Core i3-4130,AMD Radeon R9 380,8 GB,28 GB
Spec Ops: The Line,AMD Athlon 64 FX-51,NVIDIA GeForce 8600 GT,2 GB,6 GB
Orc Massage,Intel Core i3-6300,NVIDIA GeForce GTX 660,8 GB,8 GB
At Dead Of Night,Intel Core i5-12400T,Unknown,2 GB,5 GB
Double Shoulders,Intel Core i5-12400T,NVIDIA GeForce GTX 1080,16 GB,1.27 GB
Granny: Chapter Two,Intel Core i5-750,ATI Radeon HD 5770,4 GB,870 MB
Attack on Titan / A.O.T. Wings of Freedom,Intel Core i7-870,NVIDIA GeForce GTS 450,4 GB,25 GB
CityDriver,Intel Core i5-10400F,Unknown,16 GB,30 GB
LEGO Horizon Adventures,Intel Core i5-8400  / Ryzen 5 2600,NVIDIA GeForce GTX 1650  / Radeon RX 580,16 GB,30 GB
Forza Motorsport 8,Intel Core i5-8400  / Ryzen 5 1500X,NVIDIA GeForce GTX 1070  / Radeon RX 590,16 GB,110 GB
Taxi Simulator,Intel Core i5-750,Unknown,4 GB,6 GB
JDM: Rise of the Scorpion,Intel Core i5-7400,Intel Arc A580,8 GB,16 GB
Crime Simulator,Intel Core i3-6100,NVIDIA GeForce GTX 1060,8 GB,15 GB
Wild Assault,Intel Core i5-6600K,Unknown,8 GB,30 GB
Crime Boss: Rockay City,Intel Core i7-4790,NVIDIA GeForce GTX 1650,16 GB,90 GB
Chrono Odyssey,Intel Core i5-3570K,AMD Radeon RX 6600,16 GB,50 GB
Sand,Intel Core i7-9700,Unknown,24 GB,10 GB
Crypto Mining,Intel Core i5-7600K,Unknown,8 GB,2 GB
GODDESS OF VICTORY,Intel Core i3-2340UE,NVIDIA GeForce 510,4 GB,300 MB
INAZUMA ELEVEN: Victory Road,Intel Core i3-3225,AMD Radeon R7 370,8 GB,Unknown
Let's Go!,Intel Pentium 4 2.00GHz,NVIDIA GeForce 7100 / nForce 630i,8 MB,2 GB
Broken Arrow,Intel Core i5-1300F,NVIDIA GeForce GTX 1050,8 GB,60 GB
Japanese Drift Master,Intel Core i5-9400F,Intel Arc A580,16 GB,18 GB
Dying Light: The Beast,Intel Core 2 Duo E8400,NVIDIA GeForce 510,4 GB,Unknown
VEIN,Intel Core 2 Duo E8400,NVIDIA GeForce RTX 2060,8 GB,40 GB
A Test,Intel Pentium 4 2.00GHz,Unknown,128 MB,93 MB
Beyond Reason,Intel Core i5-12400T,Unknown,4 GB,5 GB
Paradise,Intel Core i5-12400T,Unknown,1 GB,Unknown
HASTE,Intel Core 2 Duo E8400,NVIDIA GeForce 510,2 GB,2.44 GB
MapleStory,Intel Core 2 Duo Q6867,AMD Radeon HD 5670,8 GB,50 GB
Tabletop Simulator,Intel Core 2 Duo E8400,NVIDIA GeForce 6100,4 GB,6 GB
WorldBox - God Simulator,Intel Core i5-1300F,Unknown,4 GB,300 MB
Dinkum,Intel Core i3-2340UE,NVIDIA GeForce GTX 560,4 GB,1 GB
RuneScape,Intel Core i3-530,Intel HD 4000,4 GB,8 GB
Pantheon: Rise of the Fallen,Intel Core 2 Duo E6850,AMD Radeon RX 5600,8 GB,30 GB
MY HERO ULTRA RUMBLE,Intel Core i5-2550K,Unknown,4 GB,10 GB
Mount & Blade: Warband,Intel Core Duo T2450,NVIDIA GeForce FX 5200,1 GB,1 GB
Barotrauma,Intel Core 2 Duo Q6867,AMD Radeon HD 5450,4 GB,2 GB
Insurgency: Sandstorm,Intel Core i5-4440,Unknown,8 GB,40 GB
Workers & Resources: Soviet Republic,Intel Core 2 Duo E4700,AMD Radeon HD 6250,8 GB,5 GB
Darkest Dungeon 2,Intel Core i5-4460,AMD Radeon R7 370,8 GB,6 GB
MORDHAU,Intel Core i5-4670,NVIDIA GeForce GTX 680,8 GB,40 GB
Slime Rancher,Intel Core 2 Duo Q6867,NVIDIA GeForce 7200 GS,4 GB,1 GB
Diplomacy is Not an Option,Intel Core i5-6400,NVIDIA GeForce GTX 960,6 GB,2 GB
Infection Free Zone,Intel Core i5-3570K,Unknown,8 GB,5 GB
Krita,Intel Core 2 Duo T5200,Intel 82945G Express,2 GB,300 MB
Neverwinter,Intel Core 2 Duo E8400,AMD Radeon X1300,2 GB,23 GB
Stay Out,Intel Core i5-12400T,Unknown,7.81 GB,21 GB
Orcs Must Die! Deathtrap,Intel Core i5-12400T,Unknown,8 GB,15 GB
DC Universe Online,Intel Core 2 Duo E8400,NVIDIA GeForce 7800 GTX,1 GB,30 GB
Undawn,Intel Core i5-4430,NVIDIA GeForce GTX 660,4 GB,20 GB
Evil Genius 2: World Domination,Intel Core i3-8100,AMD Radeon RX 550,8 GB,18 GB
Norland,Intel Core i3-8100,NVIDIA GeForce GTX 1060,8 GB,1 GB
Train Simulator 2020,Intel Core i3-4330,Unknown,4 GB,40 GB
Starship Troopers: Extermination,Intel Core i3-8100,Unknown,12 GB,20 GB
ACE COMBAT 7: SKIES UNKNOWN,Intel Core i3-7100,NVIDIA GeForce GTX 750 Ti,4 GB,50 GB
Blasphemous 2,Intel Core 2 Duo E8400,Unknown,4 GB,4 GB
Yakuza Kiwami 2,Intel Core i5-3470,AMD Radeon HD 7870,4 GB,42 GB
KINGDOM HEARTS III + Re Mind (DLC),Intel Core i5-3330,NVIDIA GeForce GTX 760,8 GB,75 GB
Bully: Scholarship Edition,Intel Pentium 4 4.00GHz,AMD Radeon X1300,1 GB,7 GB
Stranded Deep,Intel Core 2 Duo T5600,Intel HD 5500,4 GB,1 GB
GoreBox,Intel Core i5-10400F,NVIDIA GeForce GT 1030,4 GB,1 GB
Metro: Last Light Redux,Intel Core 2 Duo T5850,NVIDIA GeForce 8800 GT,2 GB,10 GB
Subverse,Intel Core i5-7600K,AMD Radeon RX 570,8 GB,40 GB
Way of the Hunter,Intel Core i3-8100,AMD Radeon R9 380,8 GB,19 GB
Tomb Raider I-III Remastered,Intel Core i3-3240,Unknown,4 GB,5 GB
Alien: Isolation,Intel Core 2 Duo E8500,AMD Radeon HD 5550,4 GB,35 GB
Monster Hunter Stories 2: Wings of Ruin,Intel Core i5-3470,AMD Radeon RX 560,4 GB,28 GB
Police Simulator: Patrol Officers,Intel Core i3-2120,NVIDIA GeForce GTX 760,8 GB,12 GB
THE KING OF FIGHTERS XV,Intel Core i5-12400T,Unknown,8 GB,65 GB
Fae Farm,Intel Core i3-4160,Unknown,8 GB,5 GB
LEGO City Undercover,Intel Core i5-760,ATI Radeon HD 5850,4 GB,18 GB
MudRunner,Intel Core 2 Duo Q6867,NVIDIA GeForce 9600 GT,2 GB,1 GB
Ultimate Epic Battle Simulator 2,Intel Core i5-4590,AMD Radeon R5 M230,8 GB,20 GB
Assassin's Creed Revelations,Intel Core 2 Duo E4400,NVIDIA GeForce 6200,2 GB,12 GB
NBA 2K20,Intel Core i3-530,AMD Radeon HD 7770,4 GB,80 GB
SIGNALIS,Intel Core i5-2300,Unknown,4 GB,2 GB
Saints Row 3,Intel Core 2 Duo T7250,NVIDIA GeForce 8800 GT,2 GB,10 GB
LEGO MARVEL's Avengers,Intel Core 2 Quad Q6600,AMD Radeon HD 6850,4 GB,14 GB
We Were Here,Intel Core i3-4130,Intel HD 4000,4 GB,3 GB
Vigor,Intel Core i3-8100,Unknown,8 GB,18 GB
METAL GEAR SOLID 3: Snake Eater - Master Collection Version,Intel Core i5-7500,NVIDIA GeForce GTX 970,8 GB,15 GB
1000xRESIST,Intel Core i5-12400T,NVIDIA GeForce GTX 1650,8 GB,10 GB
RIDE 4,Intel Core i5-2500K,NVIDIA GeForce GTX 1050,8 GB,43 GB
BIGFOOT,Intel Core i3-8130U,NVIDIA GeForce GT 730,2 GB,10 GB
Attack on Titan 2 - A.O.T.2 - 進撃の巨人２,Intel Core i5-2400,NVIDIA GeForce GTX 660,6 GB,30 GB
"The Legend of Heroes: Kai no Kiseki -Farewell, O Zemuria-",Intel Core i5-3470,Unknown,8 GB,55 GB
Hard Bullet,Intel Core i5-10400,NVIDIA GeForce GTX 1070,8 GB,20 GB
Wolfenstein: The Old Blood,Intel Core i5-2500,Unknown,4 GB,38 GB
DEATHLOOP,Intel Core i5-8400,AMD Radeon RX 580,12 GB,30 GB
Sonic Generations Collection,Intel Core 2 Duo Q6867,ATI Radeon HD 2900 GT,2 GB,11 GB
NBA 2K19,Intel Core i3-530,AMD Radeon HD 7770,4 GB,80 GB
Tennis Elbow 4,Intel Core i3-3217UE,ATI Radeon HD 5750,4 GB,4 GB
Bendy and the Ink Machine,Intel Core i5-12400T,AMD Radeon R5 M230,8 GB,2 GB
Far Cry,Intel Core 2 Duo E8400,Unknown,256 MB,4 GB
Pioneers of Pagonia,Intel Core i5-1300F,Unknown,8 GB,5 GB
Bendy and the Dark Revival,Intel Core 2 Duo E8400,Unknown,8 GB,15 GB
Visions of Mana,Intel Core i5-6400,Unknown,16 GB,45 GB
The Last Stand: Aftermath,Intel Core i5-10400F,AMD Radeon RX 570,8 GB,5 GB
RAGE 2,Intel Core i5-3570,AMD Radeon R9 280,8 GB,50 GB
Burnout Paradise Remastered,Intel Core i3-2120,ATI Radeon HD 5750,4 GB,8 GB
The Walking Dead: A New Frontier,Intel Core 2 Duo Q6867,NVIDIA GeForce GTS 450,3 GB,8 GB
VR HOT,Intel Core i5-12400T,NVIDIA GeForce GTX 1080 Ti,16 GB,25 GB
Tom Clancy’s Splinter Cell Blacklist,Intel Core 2 Duo E6400,NVIDIA GeForce 7200 GS,2 GB,25 GB
I Am Fish,Intel Core i5-3470,NVIDIA GeForce GTX 960,6 GB,12 GB
Aerofly FS 4 Flight Simulator,Intel Core i5-4590,AMD Radeon RX Vega 7,8 GB,100 GB
Tom Clancy's Ghost Recon: Future Soldier,Intel Core i5-1300F,Unknown,2 GB,25 GB
F1 2017,Intel Core i3-530,NVIDIA GeForce GTX 460,8 GB,40 GB
Darksiders,Intel Pentium 4 4.00GHz,ATI Radeon X1900,1 GB,12 GB
Cinemaster Cinema Simulator,Intel Core i5-12400T,NVIDIA GeForce GTX 1050,4 GB,5 GB
Underground Garage,Intel Core i5-4590,Unknown,8 GB,8 GB
Crysis 2,AMD Athlon 64 X2 3800+,NVIDIA GeForce 8800 GT,2 GB,9 GB
Jujutsu Kaisen Cursed Clash,Intel Core i3-2125,Unknown,4 GB,10 GB
Enotria: The Last Song,Intel Core i5-6600,Unknown,16 GB,50 GB
Ambulance Life: A Paramedic Simulator,Intel Core i7-8700K,Unknown,16 GB,60 GB
