Game,CPU,GPU,RAM,File Size
Nubby's Number Factory,Unknown,Unknown,Unknown,Unknown
Football Manager 2023,Unknown,Unknown,Unknown,Unknown
Darkest Dungeon,Intel Core 2 Duo E8400,NVIDIA GeForce 8200M G,4 GB,2 GB
Predecessor,Intel Core i5-11600,Unknown,12 GB,20 GB
PlateUp!,Intel Core i5-1300F,Unknown,16 GB,2 GB
Crusader Kings 2,Intel Core 2 Duo E8400,AMD Radeon HD 6750,4 GB,2 GB
Crossout,Intel Core i5-3330,AMD Radeon R7 260X,6 GB,5 GB
Starbound,Intel Core i3-530,NVIDIA GeForce FX 5200,4 GB,4 GB
Barony,Intel Core i5-1300F,NVIDIA GeForce GTX 1050,8 GB,4 GB
Yomi Hustle,Intel Core i7-6700K,NVIDIA GeForce MX150,1 GB,512 MB
ONE PIECE Bounty Rush,Intel Core i5-2300,AMD Radeon R9 270,8 GB,7 GB
Brick Rigs,Unknown,Unknown,Unknown,Unknown
Total War: NAPOLEON – Definitive Edition,Intel Core 2 Duo E4700,NVIDIA GeForce 6200,2 GB,21 GB
FINAL FANTASY X/X-2 HD Remaster,Intel Core i5-1300F,Unknown,2 GB,40 GB
Prison Architect,Unknown,Unknown,Unknown,Unknown
Gloomhaven,Intel Core i5-11400,AMD Radeon RX Vega 64,16 GB,14 GB
UBOAT,Intel Core i7-3770K,Unknown,8 GB,71 GB
SPORE,Unknown,Unknown,Unknown,Unknown
Railroader,Intel Core i5-12400T,NVIDIA GeForce GTX 1660,16 GB,6 GB
Pummel Party,Unknown,Unknown,Unknown,Unknown
Banished,Intel Core i5-4400E,NVIDIA GeForce 205,512 MB,250 MB
Digimon Story Cyber Sleuth: Complete Edition,Intel Core i5-2300,AMD Radeon HD 6970,4 GB,4 GB
OMORI,Intel Core i3-6100,Unknown,8 GB,2 GB
Total War: PHARAOH DYNASTIES,Intel Core i5-6600,Unknown,8 GB,80 GB
